,Title,Content
0,"US Covid-19 deaths cross 600,000, full vaccination at 40% so far"," Six hundred thousand. Americas coronavirus death toll topped the 600,000 mark Tuesday, even as an aggressive nationwide vaccination drive has crushed daily caseloads and pulled the country back to a place where it can look forward to summer as usual and even Independence Day celebrations in pre-pandemic style. Hundreds continue to die each day. President Joe Biden is warning that the fight isn't over and is urging more Americans to get vaccinated as contagious variants spread. It's been 16 months since the first known deaths from the virus in the US. Within four months starting early March last year, 100,000 perished. Fall and winter were brutal, taking the toll to 400,000 before Biden took charge as president. The last 200,000 deaths have come at a much slower pace, riding on strong vaccination numbers. By now, more than 50 per cent of Americans have got at least one shot of the Covid-19 vaccine and over 40 per cent are fully vaccinated, according to data from the Centers for Disease Control and Prevention (CDC). Crowds are surging at tourist hotspots, businesses are reopening with a burst of confidence, the malls are packed, people are shaking hands again. Restrictions being eased States like California and New York which bore the worst brunt of the initial outbreak are lifting most restrictions this week, and some of them are marking the moment with fireworks. Biden&nbsp;was hoping to get at least 70 per cent of the population partially vaccinated by July 4 and the current numbers are just short of 65 percent. The US is currently delivering 1 million jabs per day, dropping off the highs and the urgency of 3 million plus vaccines per day in early Spring. In New York, 70 per cent of adults in the state have received at least one shot. ""What does 70 per cent mean? It means that we can now return to life as we know it,"" Governor Andrew Cuomo said Tuesday. The White House is planning a big bang July Fourth celebration to mark a standout moment in the country's recovery, even as other nations continue to struggle with lockdowns and resurgent variants of the virus. Biden plans to celebrate the July Fourth holiday as America's ""summer of freedom"" and highlight his government's ""wartime response"" to the&nbsp;vaccination challenge when he took office. "
1,Covid vaccination in India without online registration: How to get coronavirus jab onsite?," Amid the slowing down of the Covid second wave in India, medical experts strongly believe that the country may soon face a third wave outbreak of the pandemic. According to medical experts, mass vaccination is the only solution to combat a potential third wave, and until now, the vaccination rollout in the country was carried out via an online registration system. And now, to accelerate the ongoing vaccination rollout program, the government has made it clear that online registration is not mandatory to receive Covaxin or Covishield vaccines.&nbsp; Covid vaccines without registration According to the latest updates, more than 26 crore people have been vaccinated in India, and it is almost 17 percent of the total population in the country. However, the pace of the vaccination rollout in the country should be ramped up to combat a potential third wave effectively. From now, prior booking of vaccination is not mandatory to avail coronavirus jabs.&nbsp; The government believes that this new step could boost the vaccination drive, especially in the rural areas where smartphone and internet penetration is low.&nbsp; As per the new guideline, registering in the CoWIN app is not mandatory to receive the coronavirus vaccine. Instead, anyone aged 18 or more can directly visit the nearest Covid vaccination center, and the vaccinator will perform the onsite registration.&nbsp; Government ramping up vaccination drive in India After reaching India, the vaccinator will collect the details of the person who has walked in and will do an onsite registration to maintain the coronavirus&nbsp;vaccination database.&nbsp; ""Anyone, aged 18 years or more, can directly go to the nearest vaccination Center where the vaccinator performs the on-site registration and provides vaccination in the same visit. This is also popularly known as ""walk-ins,"" said the health ministry in a recent statement.&nbsp; In the meantime, on June 15, India witnessed&nbsp;63,868 fresh Covid&nbsp;cases and 1,459 fatalities. The data indicates that the second wave in India has waned, and the trend will continue in the coming days as well.&nbsp; "
2,Covid origin mystery: Live bats locked up in cages at Wuhan Institute of Virology sparks debate," It was in late 2019 that the first case of the SARS-CoV-2 infection was detected in Wuhan, China. At that time no medical experts foresaw the killing capability of this virus. Pulling the entire world to sleep mode, the virus soon spread like wildfire, and emerged as a global pandemic. Ever since the day of the virus outbreak, several medical experts suggested that Covid could have been escaped from the Wuhan laboratory. Recently, United States president Joe Biden also ordered a full-fledged investigation to unveil the mystery surrounding the origin of the pandemic. Amid speculations regarding the lab leak origin of coronavirus, a new video from the Wihan Institute of Virology has made many people believe that Covid could be manmade.&nbsp; Live bats locked up in cages at Wuhan Institute of Virology The footage which has now gone viral on online spaces shows live bats locked up in cages at the Wuhan Institute of Virology. The clip has also triggered a fresh wave of controversy, and people have started claiming that the Covid pandemic might have escaped from the laboratory, either intentionally or accidentally.&nbsp; Is WHO trying to cover up a global conspiracy for China's gains?&nbsp; As people started doubting China's role in the pandemic outbreak, the WHO had launched an investigation to find the exact origin of the&nbsp;Covid&nbsp;pandemic. However, the final report from the apex health body claimed that the chance of a laboratory leak is extremely unlikely.&nbsp; Dr Peter Daszak, a zoologist who was a WHO team member also claimed that the lab leak speculation is nothing but a conspiracy theory.&nbsp; ""No BATS were sent to Wuhan lab for genetic analysis of viruses collected in the field. That's now how this science works. We collect bat samples, send them to the lab. We RELEASE bats where we catch them!&nbsp;This is a widely circulated conspiracy theory. This piece describes work I'm the lead on and labs I've collaborated with for 15 years. They DO NOT have live or dead bats in them. There is no evidence anywhere that this happened. It's an error I hope will be corrected,"" said Daszak.&nbsp; However, Daszak changed his previous statement later and revealed that the WHO team had not asked the institute whether they house bats.&nbsp; A few months back, Chinese virologist Dr Le-Meng Yan claimed that the coronavirus&nbsp;pandemic was intentionally released by China as a bioweapon.&nbsp;Yan also made it clear that China has been repeatedly denying the allegations and is using misinformation to mislead the world. "
3,"New imaging technique could help pilots, drivers in foggy weather conditions"," The researchers at Shiv Nadar University in Gautam Buddha Nagar, Uttar Pradesh, showed the methodology by conducting extensive trials on foggy winter mornings. They chose 10 red LED lights as the light source. The light source was then varied by altering the current flowing through the LEDs at a rate of around 15 cycles per second. The researchers kept a camera 150 meters away from the LEDs. The image was recorded by the camera and transferred to a desktop computer. The characteristics of the source were then extracted using computer methods and knowledge of the modulation frequency. This is known as 'demodulation.' To obtain a clear image, the image has to be demodulated at a rate equal to the rate of modulation of the light source. Using the modulation-demodulation process, the researchers witnessed a significant improvement in image quality. The length of time it takes the computer to complete the procedure is determined by the size of the image. ""The computational time for a 2160 × 2160 image is about 20 milliseconds,"" says Bapan Debnath, PhD scholar at RRI and co-author of the paper. That's about the size of the image with the LEDs. In 2016, his colleagues estimated the rate. The researchers&nbsp;repeated the experiment several times, noting the progress each time. When the fog intensity fluctuated during the observation, they did not see a significant improvement in image quality. There was a high breeze in this case, and they noticed fog trails throughout the area. The density of water droplets in the air changed with time, making the modulation-demodulation process less efficient. The researchers then altered the experimental design. They created an external substance, a piece of cardboard held 20 cm away from the LEDs, to reflect the light to the camera. The cardboard was 75 meters away from the camera. The camera captured the modulated light reflected from the cardboard as it traveled through the fog. They demonstrated how their methodology still considerably enhanced the image quality. When they repeated the experiment in bright sunlight, they discovered that after demodulating the source, the image quality was good enough to discern the LEDs from the brightly reflected sunlight. How the discovery helps? The team's research has provided a way for boosting image quality without the use of significant computations. The team from the Raman Research Institute (RRI), Bengaluru, an autonomous institute of the Department of Science and Technology; Space Applications Centre, Indian Space Research Organisation, Ahmedabad; Shiv Nadar University, Gautam Buddha Nagar; and Université Rennes and Université Paris-Saclay, CNRS, France, modulated and demodulated the light source at the observer's end to achieve sharpness. The findings were published in the journal 'OSA Continuum.' The technology is inexpensive, requiring only a few LEDs and a standard desktop computer capable of executing the process in less than a second. The technology can improve airplane-landing tactics by providing the pilot with a clear view of beacons on the runway, which is far superior to relying just on reflected radio waves, as is now the case. In rail, marine, and road transportation, the technique can help uncover obstructions in the path that would otherwise be concealed by fog, as well as aid in the detection of lighthouse beacons. More research is needed to demonstrate the usefulness in such real-world scenarios. The team is looking into whether the methodology can be used to moving sources. "
4,Galwan clash anniversary brings back painful memories; a look at what happened & India's tribute," Last year on this day, while an exhausted country was battling a strange lethal virus and the aftermaths of resulting lockdowns to curb its spread, soldiers of 16 Bihar regiment put up their brave best to face a stand-off with the Chinese troops in the Galwan valley of Ladakh. A video released by the Chinese media in February this year showed hundreds of 'unarmed' uniformed soldiers facing each other with sticks and shields in cold Galwan waters. The 'skirmish' as reported by top media channels witnessed the loss of 20 soldiers of the 16 Bihar Regiment including a Colonel rank officer. Paying homage to Martyrs On Tuesday morning, the Indian Army's Fire and Fury Corps paid a tribute to the soldiers who sacrificed their lives fighting the intrusive Chinese PLA. Major General Akash Kaushik, Chief of Staff, Fire and Fury Corps, laid a wreath at the War Memorial in Leh on the occasion. ""COAS General MM Naravane and all ranks of Indian Army pay homage to the Bravehearts who made supreme sacrifice in Galwan Valley Ladakh while defending the territorial integrity and sovereignty of the country. Their valour will be eternally etched in the memory of the Nation,"" the Indian Army spokesperson stated on the microblogging site. In Telangana, Minister for Municipal Administration and Urban Development KT Rama Rao unveiled the statue of Colonel Santosh Babu at the court center in Suryapet. The junction at which the statue has been named after the Galwan clash hero, according to The Print. What happened on June 15, 2020? A Scroll article from last year explained the reason behind the stand-off according to which Chinese troops intruded into Indian territory in the Galwan Valley to block work on a link road branching off from the Darbuk-Shyok-Daulat Beg Oldi Road. India had to respond. The link road was part of an infrastructure project on the Indian side of the Line of Actual Control. China does not want India to improve its infrastructure so that the country remains vulnerable to a 1962-type attack. Chinese troops also encroached upon Indian territory on the northern bank of the Pangong Tso, between ""fingers"" four to eight. They have built bunkers and other fortifications there and refused to dismantle them, claiming that the area belongs to China. Here's the timeline of events that led to the violent clashes between India and China in Galwan Valley in Eastern Ladakh. Following Lieutenant General talks that concluded on June 6 between India and China, symbolic disengagement took place in an attempt to resolve the months-long border standoff in Eastern Ladakh region. After the token disengagement, the Chinese came back again mid-week and erected up a fresh tent, just in 2 days of the disengagement plan agreed between the two Generals. A brawl ensued between the soldiers of the two armies which resulted in the incineration of the Chinese tent. The Chinese troops returned only to come back with a larger platoon of troopers over the weekend. Stone pelting took place between the two sides on Sunday, June 14. Violent clashes broke out on Monday (June 15) evening at the brink with a high gorge towards the Galwan river. According to the sources, skirmishes intensified and many Indian soldiers jumped into the valley in a bid to save themselves. The military confrontation between the Indian and Chinese troopers took place a day before the Major Generals of the sides were going to meet to take the disengagement plan further ahead. As the Chinese refused to back off, an unarmed team of patrol led by Commanding Officer Colonel Babu of the 16 Bihar Regiment set out to discuss with the Chinese counterpart. However, the Chinese held their ground and refused to honour the agreed disengagement plan between the Lt Generals on June 6. The Chinese side deliberately stoked the situation by attacking the unarmed Indian patrol team with boulders, stones, iron rods, clubs wrapped in barbed wire and wooden logs with nails around them. The Indian team retaliated. The Indian military sources confirmed that no firearms were used in the clashes and that most of the injuries sustained were due to the stone-pelting and the use of iron rods by the Chinese side. The CO of the 16 Bihar Regiment sustained serious injuries in the initial attack by the Chinese troopers. He, along with an injured havaldar was immediately rescued and taken back, leaving behind the injured soldiers, who were taken captive by the Chinese side. After a hiatus of 40 minutes, a Major led the same unit to the site and mounted an attack against the Chinese intruders. Things escalated precipitously from that point onwards. The Indian troops attacked the Chinese soldiers with brute power and inflicted serious life-threatening injuries to about 55 Chinese soldiers. The bloody brawl resulted in many casualties on the Chinese side but the sources informed that the exact number of fatalities cannot be determined. The fighting was happening near the ridge and many of the soldiers perished after being pushed down the brink into the fast-moving Galwan river. The Indian unit was massively outnumbered by the Chinese, according to the sources. This is the moment when several casualties on the Indian and Chinese side happened. Sources also inform that there was a brigadier-level Chinese officer on the post waving for peace and asking the two sides to stop the clashes. Fierce fist fighting continued late into the night and stones, metal clubs wrapped in barbed wire were used, resulting in head injuries to many. The clash continued for about 3 hours. Fighting halted well past midnight. Bodies of the soldiers were fished from the river while many injured succumbed to their injuries by morning, sources said. Following the violent clashes between the Indian and Chinese forces, the multiple Colonel-to-Colonel-level talks from both sides happened at the very same post during the day. The Indian Army has now taken over the control of the Indo-Tibetan Border Police (ITBP) posts. "
5,Pune-based vocalist's music app among Apple Design Award winners," , a studio-quality iOS music app created by Pune-based classical khayal vocalist Sandeep Ranade, has been selected as one of the 12 winners of the 2021 Apple Design Awards. The app helps musicians of all genres and any expertise perform and publish their music without boundaries. After first finding its tune as an app for practicing Indian classical singing, NaadSadhana has expanded to support seven different genres of music. The app does intense real-time processing like music detection AI, synthesising and simulating sounds for realistic instruments, Raga creativity AI, Taal aesthetics AI, analysing music (notes, raga, phrases, layakari, volume modulation, modality, bandish, mukhada, etc). NaadSadhana for iOS Ranade told IANS on Friday that Apple hardware will ""unlock richer, deeper and more intelligent and creative analysis and decision-making"". ""Even today, NaadSadhana is an iOS exclusive app because no other platform has a low-latency audio stack or so many building blocks for complex audio processing, neural networks, analysis and so on,"" he added. Apple Design Awards Apple on Thursday hosted its annual Apple&nbsp;Design Awards, celebrating 12 best-in-class apps and games from developers around the globe. ""This year's Apple Design Award winners have redefined what we've come to expect from a great app experience, and we congratulate them on a well-deserved win,"" said Susan Prescott, Apple's vice president of Worldwide Developer Relations. ""The work of these developers embodies the essential role apps and games play in our everyday lives, and serve as perfect examples of our six new award categories,: she added. Ranade has also created viral songs like 'Na Corona Karo', 'Anand Barasao', and an optimised 15-minute vocal workout titled 'NaadYoga'. He is also a singer, composer and educator and a student of Late Padma-Vibhushan Sangeet Martand Pandit Jasraj, performing and teaching students all over the world. ""Two years ago, I attended my first WWDC&nbsp;and the Apple Design Awards honestly felt like an Oscars Award ceremony. I never, in a million years, imagined that my work and research would ever get this high an honour,"" he told IANS. (With IANS inputs) "
6,iPhones getting whole lot better with iOS 15; top features coming this fall [details]," Apple has announced iOS 15, a major update with powerful features that will take the iPhone experience to a new level this fall. FaceTime calls will now extend beyond Apple devices, so anyone can join a call from their web browser on Android and Windows devices. The tech giant also introduced 'SharePlay' that will help users focus and be in the moment with new ways to manage notifications and quickly access information. ""iOS 15 helps users stay connected while sharing experiences in real time, gives them new tools to help reduce distraction and find focus, uses intelligence to enhance the photos experience, and, with huge upgrades to Maps, brings new ways to explore the world,"" said Craig Federighi, Apple's senior vice president of Software Engineering. iOS 15: Top features With spatial audio, voices in a FaceTime call will sound as if they are coming from where the person is positioned on the screen, and new microphone modes separate the user's voice from background noise. ""Inspired by the stunning portrait photos taken on iPhone, Portrait mode is now available for FaceTime and designed specifically for video calls, so users can blur their background and put themselves in focus,"" Apple announced during its WWDC21 conference on Monday. Users can now share experiences with SharePlay while connecting with friends on FaceTime, including listening to songs together with Apple Music, watching a TV show or movie in sync, or sharing their screen to view apps together. SharePlay works across iPhone, iPad, and Mac, and with shared playback controls, anyone in a SharePlay session can play, pause, or jump ahead. SharePlay has also extended to Apple TV. Focus is another new feature in iOS 15 that filters notifications and apps based on what a user wants to focus on. Customers can set their device to help them be in the moment by creating a custom Focus or selecting a suggested Focus, which uses on-device intelligence to suggest which people and apps are allowed to notify them. Notifications have been redesigned, adding contact photos for people and larger icons for apps that make them even easier to identify. To help reduce distraction, a new notification summary collects non-time-critical notifications for delivery at a more opportune time, such as in the morning and evening. The 'Live Text' uses on-device intelligence to recognise text in a photo and allow users to take action. For example, users can search for and locate the picture of a handwritten family recipe, or capture a phone number from a storefront with the option to place a call. ""Safari gets a new design that makes controls easier to reach with one hand and puts content front and centre. The new tab bar is compact and lightweight, and floats at the bottom of the screen, so users can easily swipe between tabs,"" Apple said. iOS 15 takes Maps even further with brand new ways to navigate and explore. Users will experience significantly enhanced details in cities for neighbourhoods, commercial districts, elevation, and buildings, new road colours and labels, custom-designed landmarks, and a new night-time mode with a moonlit glow. ""With iOS 15, users can simply hold up iPhone, and Maps generates a highly accurate position to deliver detailed walking directions in augmented reality,"" the company said. The developer preview of iOS 15 is available to Apple Developer Programme members now and a public beta will be available to iOS users next month. (With inputs from IANS) "
